,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,PNB,SBI
82,-1.2143994447681767,-1.6554334152816024,-0.9727066200823753,-1.5911780283775718,-1.9169789412027223,-1.7054419152507312
83,-1.2127342969146988,-1.6569952396329501,-0.9730923704732537,-1.6036166208492988,-1.9187068983051814,-1.707562286587504
84,-1.2143504698313097,-1.6573423117110275,-0.9736067043277582,-1.5979276193129461,-1.9188796940154271,-1.7078210289016085
85,-1.2144973946419106,-1.6559540233987182,-0.9731888080709733,-1.5881892874511285,-1.9180157154641977,-1.705287327681711
86,-1.2142035450207087,-1.6564746315158343,-0.972819130613048,-1.5815362101510653,-1.9147325969695255,-1.7055460699958158
87,-1.2140076452732407,-1.6566481675548728,-0.9746835908356272,-1.5865506768296402,-1.915596575520755,-1.7072004858940524
88,-1.2144484197050438,-1.658036455867182,-0.9744103509754217,-1.5817292374216874,-1.9150781883900172,-1.7087518434129427
89,-1.2144484197050438,-1.6573423117110275,-0.974426423908375,-1.5883823147217506,-1.9126590484465744,-1.6994941311235376
90,-1.2144484197050438,-1.653698054891216,-0.9736709960595714,-1.5882858010864398,-1.911276682764607,-1.6956667183331169
91,-1.2140566202101077,-1.6547392711254478,-0.9728512764789545,-1.5908895480610379,-1.9100671127928859,-1.6956151891434437
92,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
93,-1.2143504698313097,-1.6538715909302544,-0.9728030576800948,-1.601783922367789,-1.9102399085031316,-1.6971150174726604
94,-1.2140076452732407,-1.654218663008332,-0.9727387659482818,-1.6086300269384741,-1.911449478474853,-1.7007867463283233
95,-1.2138117455257729,-1.6545657350864091,-0.9724815990210295,-1.6085335133031633,-1.9135230269978039,-1.7034761314829785
96,-1.2141545700838419,-1.6547392711254478,-0.9717583170381323,-1.6160541527316266,-1.9162877583617386,-1.7010454886424278
97,-1.2143014948944428,-1.6538715909302544,-0.97317273513802,-1.6286847118845762,-1.9157693712310009,-1.7034761314829785
98,-1.2143504698313097,-1.654045126969293,-0.9734941937970855,-1.6134504057570278,-1.9142142098387875,-1.7042523584252927
99,-1.2143994447681767,-1.6523097665789066,-0.9734941937970855,-1.6103651511952737,-1.9145598012592795,-1.7019763031537618
100,-1.2141545700838419,-1.645715397095438,-0.97317273513802,-1.6050622042001652,-1.9143870055490337,-1.6984076326774458
101,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
102,-1.2139586703363738,-1.6483184376810178,-0.972931641143721,-1.6096906163374962,-1.9162877583617386,-1.6965460036547777
103,-1.2134199460308368,-1.6474507574858246,-0.9732530998027863,-1.6091125951150291,-1.917324532623214,-1.6976840312905428
104,-1.2128812217252998,-1.6398151717681237,-0.9726101824846556,-1.5924316450472156,-1.9140414141285416,-1.6889942364532828
105,-1.2125383971672308,-1.6332208022846553,-0.9726262554176088,-1.5763297767912676,-1.9071295857187052,-1.6874428789343927
106,-1.2115099234930238,-1.6280147211134957,-0.9725298178198893,-1.5786439828599332,-1.9088575428211643,-1.6863563804883008
107,-1.2115588984298908,-1.6210732795519496,-0.9725298178198893,-1.5818257510569982,-1.9069567900084592,-1.6798395825432244
108,-1.2119017229879598,-1.6224615678642589,-0.9726423283505621,-1.5848144919834415,-1.9048832414855081,-1.6775119980820206
109,-1.2121955726091618,-1.6214203516300272,-0.972754838881235,-1.5851040328893744,-1.9022913058318196,-1.6746153998029338
110,-1.2117058232404918,-1.617949630849254,-0.9728030576800948,-1.5838504162197307,-1.8948610902912453,-1.674666928992607
111,-1.212293522482896,-1.6182967029273314,-0.9727387659482818,-1.5890568495795285,-1.8939971117400156,-1.6753400975555746
112,-1.2124894222303637,-1.6217674237081043,-0.9725137448869361,-1.5875147525933508,-1.8946882945809995,-1.67818407027925
113,-1.2124894222303637,-1.612570013639056,-0.9718547546358519,-1.5817292374216874,-1.8924419503478025,-1.677253255767916
114,-1.2112160738718218,-1.6047608918823166,-0.9717100982392726,-1.582115291962931,-1.8825925948637854,-1.6638063299946388
115,-1.2112160738718218,-1.593307513305766,-0.9723530155574033,-1.5797045722589549,-1.8718792608285386,-1.6663400312145362
116,-1.2117547981773586,-1.6000754188282733,-0.9743782051095152,-1.5840434434903528,-1.8736072179309977,-1.6666503027183142
117,-1.2073960287961958,-1.5773421977142101,-0.9750211224276459,-1.5774868798256005,-1.860993131083046,-1.6574956488082562
118,-1.2070042293012597,-1.5726567246601666,-0.9730762975403003,-1.568520657046271,-1.8537357112527177,-1.660236563152585
119,-1.2062696052482549,-1.5733508688163211,-0.970247461340525,-1.5535758918246556,-1.8428495815072252,-1.6600819755835647
